timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726106559569,259,ConsultarUsuario,200,OK,Grupo de Hilos 1-7,text,true,,1136,217,4,4,https://reqres.in/api/users/1,259,0,171
1726106559828,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-7,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106559792,81,ConsultarUsuario,200,OK,Grupo de Hilos 1-5,text,true,,1136,217,4,4,https://reqres.in/api/users/1,81,0,0
1726106559807,84,ConsultarUsuario,200,OK,Grupo de Hilos 1-6,text,true,,1135,217,4,4,https://reqres.in/api/users/2,84,0,0
1726106559892,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-6,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106559831,86,ConsultarUsuario,200,OK,Grupo de Hilos 1-7,text,true,,1136,217,4,4,https://reqres.in/api/users/1,86,0,0
1726106559875,86,ConsultarUsuario,200,OK,Grupo de Hilos 1-5,text,true,,1135,217,4,4,https://reqres.in/api/users/2,86,0,0
1726106559961,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-5,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106559894,84,ConsultarUsuario,200,OK,Grupo de Hilos 1-6,text,true,,1136,217,4,4,https://reqres.in/api/users/1,84,0,0
1726106559918,86,ConsultarUsuario,200,OK,Grupo de Hilos 1-7,text,true,,1135,217,4,4,https://reqres.in/api/users/2,86,0,0
1726106560004,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-7,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106559766,250,ConsultarUsuario,200,OK,Grupo de Hilos 1-8,text,true,,1135,217,4,4,https://reqres.in/api/users/2,250,0,164
1726106559979,84,ConsultarUsuario,200,OK,Grupo de Hilos 1-6,text,true,,1135,217,4,4,https://reqres.in/api/users/2,84,0,0
1726106560063,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-6,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106560006,84,ConsultarUsuario,200,OK,Grupo de Hilos 1-7,text,true,,1136,217,4,4,https://reqres.in/api/users/1,84,0,0
1726106560016,87,ConsultarUsuario,200,OK,Grupo de Hilos 1-8,text,true,,1135,217,4,4,https://reqres.in/api/users/2,87,0,0
1726106560104,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-8,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106560065,85,ConsultarUsuario,200,OK,Grupo de Hilos 1-6,text,true,,1136,217,4,4,https://reqres.in/api/users/1,85,0,0
1726106560091,83,ConsultarUsuario,200,OK,Grupo de Hilos 1-7,text,true,,1135,217,4,4,https://reqres.in/api/users/2,83,0,0
1726106560175,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-7,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106560108,82,ConsultarUsuario,200,OK,Grupo de Hilos 1-8,text,true,,1136,217,4,4,https://reqres.in/api/users/1,82,0,0
1726106559966,259,ConsultarUsuario,200,OK,Grupo de Hilos 1-9,text,true,,1136,217,4,4,https://reqres.in/api/users/1,259,0,171
